,v,t,aps,cellbuilder,params,v/t,apStartIndex,firstOver20Time,firstOver20Value,peakTime,peakValue,maxSlopeTime,maxSlopePoint,maxSlopeValue,hyperMaxTime,hyperMaxValue,apEndIndex,Ap AHP,AP MaxSlope,midApUpTime,midApUpValue,midApDownTime,midApDownValue,tenPercentUpValue,tenPercentDownValue,ninetyPercentUpValue,ninetyPercentDownValue,tenPercentUpTime,tenPercentDownTime,ninetyPercentUpTime,ninetyPercentDownTime,AP Rise Time,AP Fall Time,AP HW,res_stablemean,res_maxmean,ih_slope,cell,rheobase,aisL,gbarIHSoma,nsynapses,ih-slope,rmp,step
0,"[-65.         -65.02120197 -65.04255782 ... -80.10431836 -80.10432077
 -80.10432317]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[197.15],<function CombinedTestBank.<locals>.stepLayout.<locals>.HSoma at 0x7fa10f0ce8c8>,"{'delay': 100, 'dur': 500, 'amp': 0.2113100080000001}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -9.61910049e-05
 -9.62000023e-05 -9.62044993e-05]",7874,196.84507887331293,-56.10883112662527,197.29998599304867,31.517036135524904,197.0861111110688,-3.6131053304353156,392.32596093017565,211.82454763460402,-85.44177695380239,8473,-29.33294582717712,392.32596093017565,197.0624999999577,-13.25204560430455,198.2249711918369,-12.41853965937689,-47.495777301085205,-47.0933334972,22.022819376513812,23.229636119919007,196.94444444440225,199.27493849072698,197.15694444440206,197.49999377117464,0.21249999999980673,1.7749447195523373,1.1624711918791775,58.5918126826524,65.88222294229467,[0.70258447],HSoma,0.2113100080000001,32.0,0.000140956438043,25,0.7025844749255219,-82.54711759640328,0
1,"[-65.         -65.02125975 -65.04272164 ... -80.09591304 -80.09591544
 -80.09591784]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[194.525],<function CombinedTestBank.<locals>.stepLayout.<locals>.AIS at 0x7fa10f0ce950>,"{'delay': 100, 'dur': 500, 'amp': 0.2124317104000001}","[-8.50411118e-01 -8.54454180e-01 -8.66063420e-01 ... -9.60636179e-05
 -9.60726483e-05 -9.60771617e-05]",7769,194.22014449666852,-55.790332280349396,194.6749860386804,31.58679966310353,194.46111111107118,-3.338767727103633,394.8249339904911,209.27454678088955,-85.11219794437747,8371,-29.321865664028074,394.8249339904911,194.4374999999601,-13.060413615714241,195.59997128573795,-12.294022878457435,-47.31221135043102,-47.119410572062115,22.25613584191853,23.32039466213861,194.31944444440464,196.64993869121577,194.53194444440444,194.87499379147945,0.21249999999980673,1.7749448997363118,1.1624712857778547,58.64246525082018,65.94123160386586,[0.70244261],AIS,0.2124317104000001,30.0,0.000140956438043,25,0.7024426084790595,-82.54498037475923,0
2,"[-65.         -65.02120197 -65.04255782 ... -80.10431836 -80.10432077
 -80.10432317]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[197.15],<function CombinedTestBank.<locals>.stepLayout.<locals>.Synapses at 0x7fa10f0ce9d8>,"{'delay': 100, 'dur': 500, 'amp': 0.2113100080000001}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -9.61910049e-05
 -9.62000023e-05 -9.62044993e-05]",7874,196.84507887331293,-56.10883112662527,197.29998599304867,31.517036135524904,197.0861111110688,-3.6131053304353156,392.32596093017565,211.82454763460402,-85.44177695380239,8473,-29.33294582717712,392.32596093017565,197.0624999999577,-13.25204560430455,198.2249711918369,-12.41853965937689,-47.495777301085205,-47.0933334972,22.022819376513812,23.229636119919007,196.94444444440225,199.27493849072698,197.15694444440206,197.49999377117464,0.21249999999980673,1.7749447195523373,1.1624711918791775,58.5918126826524,65.88222294229467,[0.70258447],Synapses,0.2113100080000001,32.0,0.000140956438043,25,0.7025844749255219,-82.54711759640328,0
3,"[-65.         -65.02125975 -65.04272164 ... -80.09591304 -80.09591544
 -80.09591784]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[194.525],<function CombinedTestBank.<locals>.stepLayout.<locals>.Combined at 0x7fa10f0cea60>,"{'delay': 100, 'dur': 500, 'amp': 0.2124317104000001}","[-8.50411118e-01 -8.54454180e-01 -8.66063420e-01 ... -9.60636179e-05
 -9.60726483e-05 -9.60771617e-05]",7769,194.22014449666852,-55.790332280349396,194.6749860386804,31.58679966310353,194.46111111107118,-3.338767727103633,394.8249339904911,209.27454678088955,-85.11219794437747,8371,-29.321865664028074,394.8249339904911,194.4374999999601,-13.060413615714241,195.59997128573795,-12.294022878457435,-47.31221135043102,-47.119410572062115,22.25613584191853,23.32039466213861,194.31944444440464,196.64993869121577,194.53194444440444,194.87499379147945,0.21249999999980673,1.7749448997363118,1.1624712857778547,58.64246525082018,65.94123160386586,[0.70244261],Combined,0.2124317104000001,30.0,0.000140956438043,25,0.7024426084790595,-82.54498037475923,0
4,"[-65.         -65.02090838 -65.04197695 ... -79.68527896 -79.68528132
 -79.68528368]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.325],<function CombinedTestBank.<locals>.stepLayout.<locals>.HSoma at 0x7fa10f0ceae8>,"{'delay': 100, 'dur': 500, 'amp': 0.20949909760000013}","[-8.36355978e-01 -8.39560045e-01 -8.49897532e-01 ... -9.44352307e-05
 -9.44422226e-05 -9.44457171e-05]",7722,193.04517387093247,-55.77438805452592,193.47498683350716,31.573552532857324,193.2852941176082,2.15583903879042,390.3845996843336,207.9495513297254,-85.41720157767865,8318,-29.642813523152732,390.3845996843336,193.26176470584352,-7.814087704674231,194.3999713284606,-11.948667722860815,-49.27065945246324,-46.83175791765278,24.88006097520748,22.44321581778669,193.1205882352554,195.44993878243315,193.35588235290226,193.69999302581223,0.23529411764684482,1.7499457566209173,1.1382066226170764,54.77497966372838,63.47187721207308,[0.65585575],HSoma,0.20949909760000013,32.0,0.0002114346570645,25,0.6558557502906687,-81.9921798032327,1
5,"[-65.         -65.02121586 -65.04259761 ... -80.10220389 -80.10220629
 -80.1022087 ]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[202.275],<function CombinedTestBank.<locals>.stepLayout.<locals>.AIS at 0x7fa10f0ceb70>,"{'delay': 100, 'dur': 500, 'amp': 0.21156335200000012}","[-8.48655788e-01 -8.51973585e-01 -8.62466334e-01 ... -9.61810676e-05
 -9.61900729e-05 -9.61945742e-05]",8079,201.96995075152338,-55.91877959577505,202.39998668625188,31.562978356520123,202.21029411760009,-1.3878756436236088,393.7935437919852,216.9995423914549,-85.40640719985592,8680,-29.48762760408087,393.7935437919852,202.1867647058354,-11.196350828702508,203.34997022405744,-12.61520604669123,-46.46833904052763,-47.231737616153644,23.218171159652123,22.962131174146304,202.06911764701198,204.39993731385724,202.28088235289414,202.6249929477671,0.21176470588216034,1.774944366090125,1.1632055182220427,58.6044136784555,65.89688778152826,[0.70254943],AIS,0.21156335200000012,31.5,0.000140956438043,25,0.7025494336302052,-82.54659322049265,1
6,"[-65.         -65.02120197 -65.04255782 ... -80.10311498 -80.10311749
 -80.10312   ]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[195.675],<function CombinedTestBank.<locals>.stepLayout.<locals>.Synapses at 0x7fa10f0cebf8>,"{'delay': 100, 'dur': 500, 'amp': 0.2099349616000001}","[-8.48100170e-01 -8.51177649e-01 -8.61294493e-01 ... -1.00394059e-04
 -1.00401346e-04 -1.00404988e-04]",7815,195.37011574738892,-56.05868738116676,195.79998679546117,31.51905000785959,195.6102941176061,-2.350026443748897,393.1298432019383,210.2495508097714,-85.2334559424652,8410,-29.174768561298436,393.1298432019383,195.5867647058414,-12.080264866782562,196.74997046842404,-12.605166693232485,-46.92987456761184,-47.21872949639774,22.70470356942963,23.02607829190399,195.46911764701798,197.7999378283066,195.68088235290014,196.02499300564799,0.21176470588216034,1.7749448226586253,1.1632057625826349,58.773405520934546,66.9555680433604,[0.68903755],Synapses,0.2099349616000001,32.0,0.000140956438043,20,0.6890375522207796,-82.0270995831782,1
7,"[-65.         -65.02092224 -65.04201668 ... -79.68206133 -79.68206377
 -79.68206622]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.175],<function CombinedTestBank.<locals>.stepLayout.<locals>.Combined at 0x7fa10f0cec80>,"{'delay': 100, 'dur': 500, 'amp': 0.20843680000000014}","[-8.36910672e-01 -8.40354649e-01 -8.51067421e-01 ... -9.78813905e-05
 -9.78870281e-05 -9.78898459e-05]",7716,192.89517762083852,-55.64779667984589,193.32498683595423,31.582808640169905,193.13529411760834,3.131054776528879,388.91813811013895,207.6995545121978,-85.1498149118621,8308,-29.502018232016205,388.91813811013895,193.08823529407897,-16.261661041271935,194.249971333792,-12.047375987382146,-48.87401467769106,-46.92499005670896,25.315615866507635,22.324085126197694,192.97058823525555,195.29993879381624,193.2058823529024,193.54999302710917,0.23529411764684482,1.7499457667070715,1.1617360397130199,55.05642481230592,65.21871697319052,[0.65388772],Combined,0.20843680000000014,31.5,0.0002114346570645,20,0.6538877230916389,-81.50231651192608,1
8,"[-65.         -65.02061479 -65.04139611 ... -79.30141876 -79.30142106
 -79.30142337]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[199.275],<function CombinedTestBank.<locals>.stepLayout.<locals>.HSoma at 0x7fa10f0ced08>,"{'delay': 100, 'dur': 500, 'amp': 0.20771616064000012}","[-8.24612031e-01 -8.27942805e-01 -8.38501166e-01 ... -9.22474786e-05
 -9.22530260e-05 -9.22557986e-05]",7959,198.9700257496441,-56.08252516860873,199.39998673611555,31.51523422311902,199.2102941176028,-2.946594035002782,392.6972250873321,213.8495487899903,-85.46794061063294,8554,-29.385415442024204,392.6972250873321,199.18676470583813,-12.631682184909845,200.3499703356326,-12.458067372823704,-47.191675814132,-47.113850570262656,22.38036993279468,23.15628715204846,199.0691176470147,201.3999375487493,199.28088235289687,199.62499297419487,0.21176470588216034,1.7749445745544392,1.1632056297944757,51.834002529486575,61.829978400347805,[0.62657475],HSoma,0.20771616064000012,32.0,0.000281912876086,25,0.6265747456891068,-81.49331779442467,2
9,"[-65.         -65.02117525 -65.0424805  ... -80.10848987 -80.10849227
 -80.10849468]","[0.00000e+00 2.50000e-02 5.00000e-02 ... 9.99950e+02 9.99975e+02
 1.00000e+03]",[193.975],<function CombinedTestBank.<locals>.stepLayout.<locals>.AIS at 0x7fa10f0ced90>,"{'delay': 100, 'dur': 500, 'amp': 0.21081174400000013}","[-8.47031372e-01 -8.49631303e-01 -8.58992407e-01 ... -9.62427593e-05
 -9.62517408e-05 -9.62562298e-05]",7747,193.670158246324,-56.227032931088935,194.09998682330132,31.469905711070602,193.91029411760763,-3.1523985580472313,391.5137180287924,208.62454943076548,-85.55797738700305,8345,-29.330944455914114,391.5137180287924,193.88676470584295,-12.792463172339287,195.04997053071875,-12.564869874602403,-47.31302900759251,-47.14514678614414,22.23404577354372,23.090830313660934,193.76911764701953,196.09993795945164,193.9808823529017,194.32499302040316,0.21176470588216034,1.7749449390484813,1.1632058248758028,58.566734372318024,65.85306653100558,[0.70265373],AIS,0.21081174400000013,33.0,0.000140956438043,25,0.7026537282643804,-82.54814663511618,2
